category_name,category_url
Loovara Intimate GmbH,https://www.dm.de/marken/loovara-intimate-gmbh-1435688
Lotao Deli,https://www.dm.de/marken/lotao-deli-65460
LOV&ED,https://www.dm.de/marken/lov-ed-65434
Love Affair,https://www.dm.de/marken/love-affair-217476
Löwenzahn Organics,https://www.dm.de/marken/loewenzahn-organics-65412
Lübbe Audio,https://www.dm.de/marken/luebbe-audio-65392
lumilu,https://www.dm.de/marken/lumilu-897296
Luvos,https://www.dm.de/marken/luvos-52950
Lux,https://www.dm.de/marken/lux-65354
Lykon,https://www.dm.de/marken/lykon-1497014
Mabyen,https://www.dm.de/marken/mabyen-66008
